Einleitung Coronavirus Flashcards (Coronavirus Flashcards)|TODO
Einleitung Kapitel 1 Glossar (Coronavirus Flashcards)|TODO
3D Drucker (Coronavirus Flashcards)|TODO
Antikörper (Coronavirus Flashcards)|TODO
Antigen (Coronavirus Flashcards)|TODO
Asymptomatisch (Coronavirus Flashcards)|TODO
Bakterien (Coronavirus Flashcards)|TODO
CDC - Zentren für Seuchenkontrolle und -prävention (Coronavirus Flashcards)|TODO
COVID-19 (Coronavirus Flashcards)|TODO
Träger (Coronavirus Flashcards)|TODO
Coronavirus (Coronavirus Flashcards)|TODO
Patientenverfügung (Coronavirus Flashcards)|TODO
Endemie (Coronavirus Flashcards)|TODO
Epidemie (Coronavirus Flashcards)|TODO
Genom (Coronavirus Flashcards)|TODO
Genom-Sequenzierung (Coronavirus Flashcards)|TODO
Infiziert(Coronavirus Flashcards)|TODO
Infektion (Coronavirus Flashcards)|TODO
Spritzgießen (Coronavirus Flashcards)|TODO
Just in time Produktion (Coronavirus Flashcards)|TODO
Labor (Coronavirus Flashcards)|TODO
Maske (Coronavirus Flashcards)|TODO
Muster (Coronavirus Flashcards)|TODO
NHS - Nationaler Gesundheitsdienst (Coronavirus Flashcards)|TODO
NIOSH (Coronavirus Flashcards)|TODO
Open Source (Coronavirus Flashcards)|TODO
PAPR (Coronavirus Flashcards)|TODO
Polymerase-Kettenreaktion (Coronavirus Flashcards)|TODO
Pandemie (Coronavirus Flashcards)|TODO
Quarantäne (Coronavirus Flashcards)|TODO
Basisreproduktionsrate (Coronavirus Flashcards)|TODO
Edukt (Coronavirus Flashcards)|TODO
Atemschutzmasken (Coronavirus Flashcards)|TODO
Ribonukleinsäure (Coronavirus Flashcards)|TODO
SIR Modell (Coronavirus Flashcards)|TODO
Soziale Distanzierung (Coronavirus Flashcards)|TODO
Übertragungseffekt (Coronavirus Flashcards)|TODO
OP-Maske (Coronavirus Flashcards)|TODO
Anfällig (Coronavirus Flashcards)|TODO
Symptom (Coronavirus Flashcards)|TODO
Symptomatisch (Coronavirus Flashcards)|TODO
Impfung (Coronavirus Flashcards)|TODO
Vektor (Coronavirus Flashcards)|TODO
Ventilator (Coronavirus Flashcards)|TODO
Virus (Coronavirus Flashcards)|TODO
WHO - Weltgesundheitsbehörde (Coronavirus Flashcards)|TODO
Zoonose (Coronavirus Flashcards)|TODO
