Introducción a las Tarjetas de Memoria de Coronavirus (Tarjetas de Memoria de Coronavirus)|TODO
Introducción al Capítulo 1 Glosario de Temas (Tarjetas de Memoria de Coronavirus)|Este capítulo contiene términos comunes sobre el tema en orden alfabético.
Impresión 3D (Tarjetas de Memoria de Coronavirus)|TODO
Anticuerpo (Tarjetas de Memoria de Coronavirus)|TODO
Antígeno (Tarjetas de Memoria de Coronavirus)|TODO
Asintomático (Tarjetas de Memoria de Coronavirus)|TODO
Condiciones médicas de riesgo (Tarjetas de Memoria de Coronavirus)|Chronic lung disease or moderate to severe asthma, serious heart conditions, sistema inmunitario debilitado, severe obesity (BMI >= 40), diabetes, chronic kidney disease requiring dialysis, and liver disease (CDC).
Bacteria (Tarjetas de Memoria de Coronavirus)|TODO
Centros para el Control y la Prevención de Enfermedad (Tarjetas de Memoria de Coronavirus)|TODO
COVID-19 (Tarjetas de Memoria de Coronavirus)|Una estructura específica de Coronavirus que fue descubierta y secuenciada genéticamente en 2019
Portador (Tarjetas de Memoria de Coronavirus)|TODO
Coronavirus (Tarjetas de Memoria de Coronavirus)|Una familia de virus que han recibido su nombre ya que se ven como una corona bajo un microscopio.
No Reanimación Cardiopulmonar (Tarjetas de Memoria de Coronavirus)|TODO
Endémico (Tarjetas de Memoria de Coronavirus)|TODO
Epidemia (Tarjetas de Memoria de Coronavirus)|TODO
Genoma (Tarjetas de Memoria de Coronavirus)|TODO
Secuenciación del Genoma (Tarjetas de Memoria de Coronavirus)|TODO
Personas Infectadas (Tarjetas de Memoria de Coronavirus)|Muchas afecciones pueden hacer que las personas tengan mayor riesgo, donde la capacidad de su sistema inmune para combatir enfermedades infecciosas y cáncer es limitada o inexistente. Estas condiciones incluyen el tratamiento del cáncer, el tabaquismo, el trasplante de médula ósea o de órganos, y el VIH o SIDA (CDC) mal controlado.
Infección (Tarjetas de Memoria de Coronavirus)|TODO
Moldeo por Inyección (Tarjetas de Memoria de Coronavirus)|TODO
Fabricación con Método Justo a Tiempo (Tarjetas de Memoria de Coronavirus)|TODO
Laboratorio (Tarjetas de Memoria de Coronavirus)|TODO
Mascarilla (Tarjetas de Memoria de Coronavirus)|TODO
Modelo (Tarjetas de Memoria de Coronavirus)|Una representación matemática de un sistema que se utiliza para analizar y predecir un sistema.
El Servicio Nacional de Salud (Tarjetas de Memoria de Coronavirus)|TODO
Instituto Nacional para la Seguridad y Salud Ocupacional (NIOSH) (Tarjetas de Memoria de Coronavirus)|TODO
Código Abierto (Tarjetas de Memoria de Coronavirus)|TODO
Respirador con Purificador de Aire Motorizado (PAPR) (Tarjetas de Memoria de Coronavirus)|TODO
Reacción en Cadena de la Polimerasa (PCR) (Tarjetas de Memoria de Coronavirus)|TODO
Pandemia (Tarjetas de Memoria de Coronavirus)|TODO
Cuarentena (Tarjetas de Memoria de Coronavirus)|TODO
Número Básico de Reproducción (Tarjetas de Memoria de Coronavirus)|La tasa reproductiva básica en un modelo SIR, es la cantidad de personas a las que una persona infectada transmite la enfermedad.
Reactivo (Tarjetas de Memoria de Coronavirus)|TODO
Respirador (Tarjetas de Memoria de Coronavirus)|TODO
Ácido Ribonucleico (ARN) (Tarjetas de Memoria de Coronavirus)|TODO
Modelo SIR (Tarjetas de Memoria de Coronavirus)|Una operación matemática que se usa para modelar la propagación de una enfermedad.
Distanciamiento Social (Tarjetas de Memoria de Coronavirus)|TODO
Infección de Origen Animal (Tarjetas de Memoria de Coronavirus)|TODO
Mascarilla Quirúrgica (Tarjetas de Memoria de Coronavirus)|TODO
Susceptible (Tarjetas de Memoria de Coronavirus)|Alguien que no tiene una enfermedad pero es probable que la optenga
Síntoma (Tarjetas de Memoria de Coronavirus)|TODO
Sintomático (Tarjetas de Memoria de Coronavirus)|TODO
Vacuna (Tarjetas de Memoria de Coronavirus)|TODO
Vector (Tarjetas de Memoria de Coronavirus)|TODO
Ventilador Ventilator (Tarjetas de Memoria de Coronavirus)|TODO
Virus (Tarjetas de Memoria de Coronavirus)|TODO
La Organización Mundial de la Salud (OMS) (Tarjetas de Memoria de Coronavirus)|TODO
Zoonosis (Tarjetas de Memoria de Coronavirus)|TODO
