Introducere la Coronavirus Flashcards (Coronavirus Flashcards)|TODO
Introducere la Capitolul 1 Definitia termenilor (Coronavirus Flashcards)|This chapter contains common terms on the topic listed in alphabetical order
3D Printing (Coronavirus Flashcards)|TODO
Antibody (Coronavirus Flashcards)|TODO
Antigen (Coronavirus Flashcards)|TODO
Asymptomatic (Coronavirus Flashcards)|TODO
At-risk Medical Conditions (Coronavirus Flashcards)|Chronic lung disease or moderate to severe asthma, serious heart conditions, immunocompromisation, severe obesity (BMI >= 40), diabetes, chronic kidney disease requiring dialysis, and liver disease (CDC).
Bacteria (Coronavirus Flashcards)|TODO
CDC (Coronavirus Flashcards)|Acronym for the "Centers for Disease Control and Prevention"
COVID-19 (Coronavirus Flashcards)|A specific strain of Coronavirus that was discovered and genetically sequenced in 2019
Carrier (Coronavirus Flashcards)|TODO
Coronavirus (Coronavirus Flashcards)|A family of viruses that have gotten their name as they look like a crown under a microscope
DNR (Coronavirus Flashcards)|Acronym for "Do not resuscitate"
Endemic (Coronavirus Flashcards)|TODO
Epidemic (Coronavirus Flashcards)|TODO
Genome (Coronavirus Flashcards)|TODO
Genome Sequencing (Coronavirus Flashcards)|TODO
Immunocompromised (Coronavirus Flashcards)|Many conditions can cause people to become immunocompromised, where their immune system's ability to fight infectious disease and cancer is limited or nonexistent. These conditions include cancer treatment, smoking, bone marrow or organ transplantation, and poorly controlled HIV or AIDS (CDC).
Infected (Coronavirus Flashcards)|TODO
Infection (Coronavirus Flashcards)|TODO
Injection moulding (Coronavirus Flashcards)|TODO
Just in time Manufacturing (Coronavirus Flashcards)|TODO
Laboratory (Coronavirus Flashcards)|TODO
Mask (Coronavirus Flashcards)|TODO
Model (Coronavirus Flashcards)|A mathematical representation of a system that is used to analyse and predict a system
NHS (Coronavirus Flashcards)|National Health Service
NIOSH (Coronavirus Flashcards)|Acronym for National Institute for Occupational Safety and Health
Open source (Coronavirus Flashcards)|TODO
PAPR (Coronavirus Flashcards)|Acronym for Powered Air-Purifying Respirator
PCR (Coronavirus Flashcards)|Acronym for Polymerase Chain Reaction
Pandemic (Coronavirus Flashcards)|TODO
Quarantine (Coronavirus Flashcards)|TODO
R0 (Coronavirus Flashcards)|The base reproductive rate in an SIR Model, it is the number of people that an infected person passes the disease onto
Reagent (Coronavirus Flashcards)|TODO
Respirator (Coronavirus Flashcards)|TODO
RNA (Coronavirus Flashcards)|Acronym for Ribonucleic acid
SIR Model (Coronavirus Flashcards)|A mathematical that is used to model the spread of a disease
Social distancing (Coronavirus Flashcards)|TODO
Spillover infection (Coronavirus Flashcards)|TODO
Surgical Mask (Coronavirus Flashcards)|TODO
Susceptible (Coronavirus Flashcards)|Someone who does not have a disease but is likely to obtain
Symptom (Coronavirus Flashcards)|TODO
Symptomatic (Coronavirus Flashcards)|TODO
Vaccine (Coronavirus Flashcards)|TODO
Vector (Coronavirus Flashcards)|TODO
Ventilator (Coronavirus Flashcards)|TODO
Virus (Coronavirus Flashcards)|TODO
WHO (Coronavirus Flashcards)|Acronym for World Health Organisation
Zoonosis (Coronavirus Flashcards)|TODO
